tool,dataset,breakpoint_f1,breakpoint_precision,breakpoint_recall,cell_node_match_accuracy,clone_ari,clone_nmi,hscn_error,loh_f1,loh_precision,loh_recall,msr,nrf_distance,retention_rate,tcn_mse,tree_coverage
SCICoNE,events_80_rep43,0.6713780918727915,0.6643356643356644,0.6785714285714286,,0.854435966990095,0.9230136055061453,,,,,,,,0.5229432624113475,
SCICoNE,events_80_rep44,0.746031746031746,0.7642276422764228,0.7286821705426356,,1.0,1.0,,,,,,,,0.9758461538461538,
SCICoNE,events_80_rep45,0.6992481203007519,0.6642857142857143,0.7380952380952381,,1.0,1.0,,,,,,,,0.5150393700787401,
SCICoNE,events_80_rep46,0.5577689243027888,0.4697986577181208,0.6862745098039216,,0.8416567406758045,0.9080811631714426,,,,,,,,0.2987378640776699,
SCICoNE,focal_0_3_rep42,0.4454976303317536,0.3092105263157895,0.7966101694915254,,1.0,1.0,,,,,,,,0.429,
SCICoNE,focal_0_3_rep43,0.4800000000000001,0.3356643356643357,0.8421052631578947,,0.8796194238043535,0.92652905606122,,,,,,,,0.3325862068965517,
SCICoNE,focal_0_3_rep44,0.4976958525345622,0.35526315789473684,0.8307692307692308,,1.0,1.0,,,,,,,,1.156060606060606,
SCICoNE,focal_0_3_rep45,0.5608465608465608,0.4108527131782946,0.8833333333333333,,1.0,1.0,,,,,,,,0.7223770491803279,
SCICoNE,focal_0_3_rep46,0.37433155080213903,0.25,0.7446808510638298,,0.7993767013994725,0.8542791164529855,,,,,,,,0.8808333333333334,
SCICoNE,focal_1_0_rep42,0.48962655601659755,0.39864864864864863,0.6344086021505376,,0.8818741234301776,0.9221094805604576,,,,,,,,0.31542553191489364,
SCICoNE,focal_1_0_rep43,0.3610108303249097,0.25906735751295334,0.5952380952380952,,0.8883962214549852,0.9285022589358504,,,,,,,,0.2985294117647059,
SCICoNE,focal_1_0_rep44,0.3984962406015038,0.30113636363636365,0.5888888888888889,,1.0,1.0,,,,,,,,0.5595604395604395,
SCICoNE,focal_1_0_rep45,0.5984251968503937,0.5891472868217055,0.608,,1.0,1.0,,,,,,,,0.18615079365079365,
SCICoNE,focal_1_0_rep46,0.3821138211382114,0.2883435582822086,0.5662650602409639,,0.6252042960067086,0.7960459306683908,,,,,,,,0.1413095238095238,
SCICoNE,normal_0_0_rep42,0.5572139303482587,0.45528455284552843,0.717948717948718,,0.8619731520368965,0.9039347210724212,,,,,,,,0.46360759493670883,
SCICoNE,normal_0_0_rep43,0.6442307692307692,0.5447154471544715,0.788235294117647,,1.0,0.9999999999999998,,,,,,,,0.22273255813953488,
SCICoNE,normal_0_0_rep44,0.6095238095238096,0.512,0.7529411764705882,,1.0,1.0,,,,,,,,0.8302325581395349,
SCICoNE,normal_0_0_rep45,0.36290322580645157,0.24725274725274726,0.6818181818181818,,1.0,1.0,,,,,,,,0.40432835820895524,
SCICoNE,normal_0_0_rep46,0.3870967741935483,0.2781456953642384,0.6363636363636364,,1.0,1.0,,,,,,,,0.10835820895522388,
SCICoNE,normal_0_3_rep42,0.5263157894736842,0.4198473282442748,0.7051282051282052,,0.857272071626947,0.9007793961049012,,,,,,,,0.3881012658227848,
SCICoNE,normal_0_3_rep43,0.6388888888888888,0.5267175572519084,0.8117647058823529,,0.6667535194095704,0.8323024523851664,,,,,,,,0.14348837209302326,
SCICoNE,normal_0_3_rep44,0.5526315789473685,0.4405594405594406,0.7411764705882353,,1.0,1.0,,,,,,,,0.7476744186046511,
SCICoNE,normal_0_3_rep45,0.4577114427860696,0.34074074074074073,0.696969696969697,,1.0,1.0,,,,,,,,0.2506716417910448,
SCICoNE,normal_0_3_rep46,0.33699633699633696,0.2222222222222222,0.696969696969697,,0.7158637238348329,0.8632053228406291,,,,,,,,0.1355223880597015,
