method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
Alleloscope,coverage_0_1_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,333.33,0.1,0.01,0.0,0.0,0.1566,NA,0.7242,NA,0.4429,0.5872,0.3556,NA,NA,NA,NA,NA,NA,NA,0.635
Alleloscope,coverage_0_1_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,333.33,0.1,0.01,0.0,0.0,0.6256,NA,0.9817,NA,0.3215,0.3865,0.2752,NA,NA,NA,NA,NA,NA,NA,0.595
Alleloscope,coverage_0_1_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,333.33,0.1,0.01,0.0,0.0,0.3149,NA,0.9213,NA,0.6649,0.7014,0.632,NA,NA,NA,NA,NA,NA,NA,0.64
Alleloscope,coverage_0_1_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,333.33,0.1,0.01,0.0,0.0,0.2299,NA,0.8334,NA,0.4013,0.6184,0.297,NA,NA,NA,NA,NA,NA,NA,0.645
Alleloscope,doublet_0_02_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.02,0.4182,NA,0.6994,NA,0.5237,0.7602,0.3995,NA,NA,NA,NA,NA,NA,NA,0.57
Alleloscope,doublet_0_02_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.02,0.1521,NA,0.7217,NA,0.4062,0.5732,0.3146,NA,NA,NA,NA,NA,NA,NA,0.61
Alleloscope,doublet_0_02_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.02,0.6187,NA,0.9905,NA,0.3114,0.3772,0.2652,NA,NA,NA,NA,NA,NA,NA,0.565
Alleloscope,doublet_0_02_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.02,0.302,NA,0.7724,NA,0.6703,0.738,0.614,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,doublet_0_02_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.02,0.2379,NA,0.9131,NA,0.4035,0.6343,0.2958,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,doublet_0_05_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.05,0.4257,NA,0.7321,NA,0.5108,0.7673,0.3829,NA,NA,NA,NA,NA,NA,NA,0.565
