tool,dataset,runtime_seconds,runtime_minutes
CONET,events_10_rep44,46,0.77
CONET,events_10_rep45,45,0.75
CONET,events_10_rep46,47,0.78
CONET,events_80_rep42,52,0.87
CONET,events_80_rep43,47,0.78
CONET,events_80_rep44,47,0.78
CONET,events_80_rep45,75,1.25
CONET,events_80_rep46,69,1.15
CONET,focal_0_3_rep42,34,0.57
CONET,focal_0_3_rep43,34,0.57
CONET,focal_0_3_rep44,78,1.3
CONET,focal_0_3_rep45,63,1.05
CONET,focal_0_3_rep46,44,0.73
CONET,focal_1_0_rep42,42,0.7
CONET,focal_1_0_rep43,56,0.93
CONET,focal_1_0_rep44,34,0.57
CONET,focal_1_0_rep45,49,0.82
CONET,focal_1_0_rep46,35,0.58
CONET,normal_0_0_rep42,34,0.57
CONET,normal_0_0_rep43,38,0.63
CONET,normal_0_0_rep44,44,0.73
CONET,normal_0_0_rep45,43,0.72
CONET,normal_0_0_rep46,37,0.62
CONET,normal_0_3_rep42,41,0.68
CONET,normal_0_3_rep43,35,0.58
CONET,normal_0_3_rep44,39,0.65
CONET,normal_0_3_rep45,32,0.53
CONET,normal_0_3_rep46,48,0.8
SCICoNE,amplitude_1_0_rep42,468,7.8
SCICoNE,amplitude_1_0_rep43,358,5.97
SCICoNE,amplitude_1_0_rep44,479,7.98
SCICoNE,amplitude_1_0_rep45,417,6.95
SCICoNE,amplitude_1_0_rep46,402,6.7
SCICoNE,amplitude_4_0_rep42,378,6.3
SCICoNE,amplitude_4_0_rep43,369,6.15
SCICoNE,amplitude_4_0_rep44,419,6.98
SCICoNE,amplitude_4_0_rep45,417,6.95
SCICoNE,amplitude_4_0_rep46,663,11.05
SCICoNE,beta_0_1_rep42,392,6.53
SCICoNE,beta_0_1_rep43,397,6.62
SCICoNE,beta_0_1_rep44,377,6.28
SCICoNE,beta_0_1_rep45,348,5.8
SCICoNE,beta_0_1_rep46,347,5.78
SCICoNE,beta_0_3_rep42,413,6.88
SCICoNE,beta_0_3_rep43,396,6.6
SCICoNE,beta_0_3_rep44,336,5.6
SCICoNE,beta_0_3_rep45,331,5.52
SCICoNE,beta_0_3_rep46,359,5.98
SCICoNE,beta_0_5_rep42,396,6.6
SCICoNE,beta_0_5_rep43,296,4.93
SCICoNE,beta_0_5_rep44,329,5.48
SCICoNE,beta_0_5_rep45,420,7.0
SCICoNE,beta_0_5_rep46,401,6.68
SCICoNE,cells_500_rep42,557,9.28
SCICoNE,cells_500_rep43,587,9.78
