tool,dataset,breakpoint_f1,clone_ari,hscn_error,loh_f1,msr,nrf_distance,tcn_mse,tree_coverage
SEACON,beta_0_1_rep44,0.38333333333333336,0.3007217308465112,1.455774647887324,0.9070772555375474,0.6666666666666666,,,
SEACON,beta_0_1_rep45,0.7543859649122807,0.6096791165372819,0.4166470588235294,0.8628055494384497,1.0,,,
SEACON,beta_0_1_rep46,0.7294117647058824,0.5975257012609451,1.0298360655737704,0.6353944562899786,,,,
SEACON,beta_0_3_rep42,0.28571428571428575,0.5451336458700994,0.568671875,0.9227311042427648,0.42857142857142855,,,
SEACON,beta_0_3_rep43,0.6478873239436619,0.18327199255315008,0.7139610389610389,0.8719948018193632,,,,
SEACON,beta_0_3_rep44,0.13202247191011238,0.30516737000610805,1.0633098591549295,0.9075810340208947,0.6666666666666666,,,
SEACON,beta_0_3_rep45,0.7478260869565218,0.7414747361125948,0.34511764705882353,0.8741949334478316,1.0,,,
SEACON,beta_0_3_rep46,0.7654320987654322,0.3885731529513356,1.0077868852459015,0.5972369819341127,,,,
SEACON,beta_0_5_rep42,0.2611683848797251,0.2549951276161692,1.30140625,0.903869407496977,1.0,,,
SEACON,beta_0_5_rep43,0.8333333333333334,0.2285837129592718,0.4755844155844156,0.8493827160493828,,,,
SEACON,beta_0_5_rep44,0.1116751269035533,0.2999358107406793,1.4487323943661972,0.9186449719925313,0.6666666666666666,,,
SEACON,beta_0_5_rep45,0.7478260869565218,0.7670499092364237,0.3029411764705882,0.8823900694298338,1.0,,,
SEACON,beta_0_5_rep46,0.4689655172413793,0.3502384188218995,1.4864754098360655,0.6788813886210222,,,,
SEACON,cells_500_rep42,0.05004389815627743,0.706218392209868,1.410126582278481,0.9200893624334078,0.9411764705882353,,,
SEACON,cells_500_rep43,0.08076923076923079,0.5195103841929363,0.6941627906976744,0.9459661354581673,0.6,,,
SEACON,cells_500_rep44,0.034688346883468835,0.9535764178571388,1.738186046511628,0.9397022598264967,0.3333333333333333,,,
SEACON,cells_500_rep45,0.05462445685909373,0.5662050125021396,0.6731940298507463,0.9530868356775879,,,,
SEACON,cells_500_rep46,0.12371134020618557,0.41548831096617883,0.8308955223880597,0.8720412884854957,1.0,,,
SEACON,cells_50_rep42,0.7580645161290324,0.4611945916455557,0.8617721518987341,0.8729184925503944,1.0,,,
SEACON,cells_50_rep43,0.8503937007874015,0.6192759702690221,0.35953488372093023,0.8501362397820164,0.2,,,
SEACON,cells_50_rep44,0.7737226277372263,0.41887116289730236,0.6551162790697674,0.8525714285714285,0.6666666666666666,,,
SEACON,cells_50_rep45,0.7526881720430108,0.4213147628477664,0.5408955223880597,0.9059288537549408,,,,
SEACON,cells_50_rep46,0.7252747252747253,0.37089871611982883,1.1346268656716418,0.7709677419354838,1.0,,,
SEACON,clone_2_rep42,0.1837837837837838,0.7537379728254165,2.795714285714286,0.850020104543627,,,,
SEACON,clone_2_rep43,0.15816326530612243,-0.03891107018446872,1.5505172413793102,0.9657210401891254,,,,
SEACON,clone_2_rep44,0.07094918504314476,0.17850427884919134,1.0455555555555556,0.9476405946994183,1.0,,,
SEACON,clone_2_rep45,0.0966702470461869,0.6526150707924304,2.728466666666667,0.8830424589736912,0.75,,,
SEACON,clone_2_rep46,0.5660377358490566,-0.08950021894997054,0.9164893617021277,0.9201451905626135,,,,
SEACON,clone_4_rep42,0.25,0.2618614076859113,1.816171875,0.9052950075642966,1.0,,,
