cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell22	22	3	1	47	74	1	2	3	False
cell22	22	3	2	75	80	1	2	3	False
cell22	22	3	3	81	83	1	2	3	False
cell22	22	3	4	84	86	1	2	3	False
cell22	22	3	5	87	89	1	2	3	False
cell22	22	3	6	90	243	1	2	3	False
cell22	22	3	7	244	497	1	1	2	False
cell23	23	3	0	0	46	1	2	3	False
cell23	23	3	1	47	74	1	2	3	False
cell23	23	3	2	75	80	1	2	3	False
cell23	23	3	3	81	83	1	2	3	False
cell23	23	3	4	84	86	1	2	3	False
cell23	23	3	5	87	89	1	2	3	False
cell23	23	3	6	90	243	1	2	3	False
cell23	23	3	7	244	497	1	1	2	False
cell24	24	3	0	0	46	1	2	3	False
cell24	24	3	1	47	74	1	2	3	False
cell24	24	3	2	75	80	1	2	3	False
cell24	24	3	3	81	83	1	2	3	False
cell24	24	3	4	84	86	1	2	3	False
cell24	24	3	5	87	89	1	2	3	False
cell24	24	3	6	90	243	1	2	3	False
cell24	24	3	7	244	497	1	1	2	False
cell25	25	3	0	0	46	1	2	3	False
cell25	25	3	1	47	74	1	2	3	False
cell25	25	3	2	75	80	1	2	3	False
cell25	25	3	3	81	83	1	2	3	False
cell25	25	3	4	84	86	1	2	3	False
cell25	25	3	5	87	89	1	2	3	False
cell25	25	3	6	90	243	1	2	3	False
cell25	25	3	7	244	497	1	1	2	False
cell26	26	3	0	0	46	1	2	3	False
cell26	26	3	1	47	74	1	2	3	False
cell26	26	3	2	75	80	1	2	3	False
cell26	26	3	3	81	83	1	2	3	False
cell26	26	3	4	84	86	1	2	3	False
cell26	26	3	5	87	89	1	2	3	False
cell26	26	3	6	90	243	1	2	3	False
cell26	26	3	7	244	497	1	1	2	False
cell27	27	3	0	0	46	1	2	3	False
cell27	27	3	1	47	74	1	2	3	False
cell27	27	3	2	75	80	1	2	3	False
cell27	27	3	3	81	83	1	2	3	False
cell27	27	3	4	84	86	1	2	3	False
cell27	27	3	5	87	89	1	2	3	False
cell27	27	3	6	90	243	1	2	3	False
cell27	27	3	7	244	497	1	1	2	False
cell28	28	3	0	0	46	1	2	3	False
cell28	28	3	1	47	74	1	2	3	False
cell28	28	3	2	75	80	1	2	3	False
cell28	28	3	3	81	83	1	2	3	False
cell28	28	3	4	84	86	1	2	3	False
cell28	28	3	5	87	89	1	2	3	False
cell28	28	3	6	90	243	1	2	3	False
cell28	28	3	7	244	497	1	1	2	False
cell29	29	3	0	0	46	1	2	3	False
cell29	29	3	1	47	74	1	2	3	False
cell29	29	3	2	75	80	1	2	3	False
cell29	29	3	3	81	83	1	2	3	False
cell29	29	3	4	84	86	1	2	3	False
cell29	29	3	5	87	89	1	2	3	False
cell29	29	3	6	90	243	1	2	3	False
cell29	29	3	7	244	497	1	1	2	False
cell30	30	3	0	0	46	1	2	3	False
cell30	30	3	1	47	74	1	2	3	False
cell30	30	3	2	75	80	1	2	3	False
cell30	30	3	3	81	83	1	2	3	False
cell30	30	3	4	84	86	1	2	3	False
cell30	30	3	5	87	89	1	2	3	False
cell30	30	3	6	90	243	1	2	3	False
cell30	30	3	7	244	497	1	1	2	False
cell31	31	3	0	0	46	1	2	3	False
cell31	31	3	1	47	74	1	2	3	False
cell31	31	3	2	75	80	1	2	3	False
cell31	31	3	3	81	83	1	2	3	False
cell31	31	3	4	84	86	1	2	3	False
cell31	31	3	5	87	89	1	2	3	False
cell31	31	3	6	90	243	1	2	3	False
cell31	31	3	7	244	497	1	1	2	False
cell32	32	8	0	0	46	1	1	2	False
cell32	32	8	1	47	74	2	1	3	False
cell32	32	8	2	75	80	2	0	2	True
cell32	32	8	3	81	83	1	0	1	True
cell32	32	8	4	84	86	0	0	0	False
cell32	32	8	5	87	89	1	0	1	True
cell32	32	8	6	90	243	1	1	2	False
cell32	32	8	7	244	497	1	1	2	False
cell33	33	7	0	0	46	1	1	2	False
cell33	33	7	1	47	74	2	1	3	False
cell33	33	7	2	75	80	2	0	2	True
cell33	33	7	3	81	83	1	0	1	True
cell33	33	7	4	84	86	0	0	0	False
cell33	33	7	5	87	89	1	0	1	True
cell33	33	7	6	90	243	1	1	2	False
cell33	33	7	7	244	497	1	1	2	False
cell34	34	3	0	0	46	1	2	3	False
cell34	34	3	1	47	74	1	2	3	False
cell34	34	3	2	75	80	1	2	3	False
cell34	34	3	3	81	83	1	2	3	False
cell34	34	3	4	84	86	1	2	3	False
cell34	34	3	5	87	89	1	2	3	False
cell34	34	3	6	90	243	1	2	3	False
cell34	34	3	7	244	497	1	1	2	False
cell35	35	3	0	0	46	1	2	3	False
cell35	35	3	1	47	74	1	2	3	False
cell35	35	3	2	75	80	1	2	3	False
cell35	35	3	3	81	83	1	2	3	False
cell35	35	3	4	84	86	1	2	3	False
cell35	35	3	5	87	89	1	2	3	False
cell35	35	3	6	90	243	1	2	3	False
cell35	35	3	7	244	497	1	1	2	False
cell36	36	3	0	0	46	1	2	3	False
cell36	36	3	1	47	74	1	2	3	False
cell36	36	3	2	75	80	1	2	3	False
cell36	36	3	3	81	83	1	2	3	False
cell36	36	3	4	84	86	1	2	3	False
cell36	36	3	5	87	89	1	2	3	False
cell36	36	3	6	90	243	1	2	3	False
cell36	36	3	7	244	497	1	1	2	False
cell37	37	5	0	0	46	1	1	2	False
cell37	37	5	1	47	74	2	1	3	False
cell37	37	5	2	75	80	2	0	2	True
cell37	37	5	3	81	83	1	0	1	True
cell37	37	5	4	84	86	1	0	1	True
cell37	37	5	5	87	89	1	0	1	True
cell37	37	5	6	90	243	1	1	2	False
cell37	37	5	7	244	497	1	1	2	False
cell38	38	3	0	0	46	1	2	3	False
cell38	38	3	1	47	74	1	2	3	False
cell38	38	3	2	75	80	1	2	3	False
cell38	38	3	3	81	83	1	2	3	False
cell38	38	3	4	84	86	1	2	3	False
cell38	38	3	5	87	89	1	2	3	False
cell38	38	3	6	90	243	1	2	3	False
cell38	38	3	7	244	497	1	1	2	False
cell39	39	4	0	0	46	1	2	3	False
cell39	39	4	1	47	74	1	2	3	False
cell39	39	4	2	75	80	1	2	3	False
cell39	39	4	3	81	83	1	2	3	False
cell39	39	4	4	84	86	1	2	3	False
cell39	39	4	5	87	89	1	2	3	False
cell39	39	4	6	90	243	1	2	3	False
cell39	39	4	7	244	497	1	1	2	False
cell40	40	3	0	0	46	1	2	3	False
cell40	40	3	1	47	74	1	2	3	False
cell40	40	3	2	75	80	1	2	3	False
cell40	40	3	3	81	83	1	2	3	False
cell40	40	3	4	84	86	1	2	3	False
cell40	40	3	5	87	89	1	2	3	False
cell40	40	3	6	90	243	1	2	3	False
cell40	40	3	7	244	497	1	1	2	False
cell41	41	3	0	0	46	1	2	3	False
cell41	41	3	1	47	74	1	2	3	False
cell41	41	3	2	75	80	1	2	3	False
cell41	41	3	3	81	83	1	2	3	False
cell41	41	3	4	84	86	1	2	3	False
cell41	41	3	5	87	89	1	2	3	False
cell41	41	3	6	90	243	1	2	3	False
cell41	41	3	7	244	497	1	1	2	False
cell42	42	3	0	0	46	1	2	3	False
cell42	42	3	1	47	74	1	2	3	False
cell42	42	3	2	75	80	1	2	3	False
cell42	42	3	3	81	83	1	2	3	False
cell42	42	3	4	84	86	1	2	3	False
cell42	42	3	5	87	89	1	2	3	False
cell42	42	3	6	90	243	1	2	3	False
cell42	42	3	7	244	497	1	1	2	False
cell43	43	4	0	0	46	1	2	3	False
cell43	43	4	1	47	74	1	2	3	False
cell43	43	4	2	75	80	1	2	3	False
cell43	43	4	3	81	83	1	2	3	False
cell43	43	4	4	84	86	1	2	3	False
cell43	43	4	5	87	89	1	2	3	False
cell43	43	4	6	90	243	1	2	3	False
cell43	43	4	7	244	497	1	1	2	False
cell44	44	3	0	0	46	1	2	3	False
cell44	44	3	1	47	74	1	2	3	False
cell44	44	3	2	75	80	1	2	3	False
cell44	44	3	3	81	83	1	2	3	False
cell44	44	3	4	84	86	1	2	3	False
cell44	44	3	5	87	89	1	2	3	False
cell44	44	3	6	90	243	1	2	3	False
cell44	44	3	7	244	497	1	1	2	False
cell45	45	3	0	0	46	1	2	3	False
cell45	45	3	1	47	74	1	2	3	False
cell45	45	3	2	75	80	1	2	3	False
cell45	45	3	3	81	83	1	2	3	False
cell45	45	3	4	84	86	1	2	3	False
cell45	45	3	5	87	89	1	2	3	False
cell45	45	3	6	90	243	1	2	3	False
cell45	45	3	7	244	497	1	1	2	False
cell46	46	5	0	0	46	1	1	2	False
cell46	46	5	1	47	74	2	1	3	False
cell46	46	5	2	75	80	2	0	2	True
cell46	46	5	3	81	83	1	0	1	True
cell46	46	5	4	84	86	1	0	1	True
cell46	46	5	5	87	89	1	0	1	True
cell46	46	5	6	90	243	1	1	2	False
cell46	46	5	7	244	497	1	1	2	False
cell47	47	3	0	0	46	1	2	3	False
cell47	47	3	1	47	74	1	2	3	False
cell47	47	3	2	75	80	1	2	3	False
cell47	47	3	3	81	83	1	2	3	False
cell47	47	3	4	84	86	1	2	3	False
cell47	47	3	5	87	89	1	2	3	False
cell47	47	3	6	90	243	1	2	3	False
cell47	47	3	7	244	497	1	1	2	False
cell48	48	3	0	0	46	1	2	3	False
cell48	48	3	1	47	74	1	2	3	False
cell48	48	3	2	75	80	1	2	3	False
cell48	48	3	3	81	83	1	2	3	False
cell48	48	3	4	84	86	1	2	3	False
cell48	48	3	5	87	89	1	2	3	False
